activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007014400,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,2,2,2,1,2,35000.0,96.0,,,3,,,,,,360,,,2,2,2,2,165000.0,1,1,3,5,1,,55.0,45,2,10,2,,,,,5,,,,,1,4,3,,,,,8,,,,,1,4,1,5,1,4,25-34,9999,No,,1,1,6,,,,,8,,,,4744,15.37,88700,119,1759,2292,63
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007012800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,1,1,2,2,2,155000.0,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,42.0,>60%,3,10,3,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,3,5,3,4,35-44,9999,No,,1,1,1,,,,,3,,,,5100,17.98,88700,98,1415,1999,70
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007014400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,1,1,2,1,1,1,2,2,2,125000.0,80.0,7.5,0.186,2,3923.0,,669.0,,,360,,,2,2,2,2,155000.0,1,1,3,5,1,,59.0,30%-<36%,1,10,3,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,2,5,3,4,35-44,9999,No,,1,1,1,,,,,10,,,,4744,15.37,88700,119,1759,2292,63
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007013304,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,0,2,1,32,2,2,1,2,225000.0,94.0,8.25,0.03,2,,,,,,360,,,2,2,2,2,555000.0,1,1,3,5,1,,193.0,43,2,2,3,,,,,3,,,,,3,3,6,,,,,6,,,,,3,3,1,2,3,3,45-54,45-54,No,No,1,1,6,,,,,10,,,,5951,12.6,88700,162,1968,2469,41
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007012702,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,2,2,2,2,2,65000.0,86.0,,,3,,,,,,180,,,2,2,2,2,215000.0,1,1,3,5,1,,99.0,38,2,2,2,,,,,2,,,,,3,3,5,,,,,5,,,,,3,3,1,2,3,3,35-44,35-44,No,No,1,1,6,,,,,3,8.0,,,4617,10.09,88700,137,1566,1929,56
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007013400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Sex Not Available,3,0,2,1,1,1,2,2,2,55000.0,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,2,,20.0,>60%,1,10,2,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,3,5,3,4,25-34,9999,No,,1,1,1,,,,,3,,,,4499,19.74,88700,66,886,2219,78
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007000500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,3,0,2,1,2,1,2,1,2,5000.0,,,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1,,20.0,<20%,8,10,3,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,2,5,3,4,25-34,9999,No,,1,1,6,,,,,3,,,,1961,54.61,88700,25,208,653,60
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007000500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,3,0,2,1,2,1,2,2,2,5000.0,,,,3,,,,,,180,,,2,2,2,2,,1,1,3,5,1,,20.0,<20%,8,10,3,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,2,5,3,4,25-34,9999,No,,1,1,6,,,,,9,3.0,,,1961,54.61,88700,25,208,653,60
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007013202,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,2,2,2,2,35000.0,,,,3,,,,,,180,,,2,2,2,2,,1,1,3,5,1,,7.0,>60%,2,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,45-54,9999,No,,1,1,6,,,,,1,,,,3186,12.49,88700,138,1052,1385,54
2024,549300TDVGWRELEO5F50,13780,NY,36007,36007012501,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,1,1,2,2,2,175000.0,100.0,7.5,0.004,2,3181.0,,219.0,,,360,,60.0,2,2,2,2,175000.0,1,1,3,5,1,,73.0,20%-<30%,3,10,2,,,,,5,,,,,3,4,5,,,,,8,,,,,3,4,1,5,3,4,35-44,9999,No,,1,1,1,,,,,10,,,,2543,9.56,88700,80,1254,1542,38
